Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Aquitania;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;80.0;60.0;1500.0;25.0;Solanum tuberosum;En fresco
Boyacá;Aquitania;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;30.0;25.0;200.0;8.0;Solanum tuberosum;En fresco
Boyacá;Arcabuco;Arándano;Arándano;Permanente;Frutales;Demas frutales;2019;C;12.0;6.0;54.0;9.0;Vaccinium corymbosum;En fresco
Boyacá;Arcabuco;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;20.0;15.0;300.0;20.0;Fragaria vesca;En fresco
Boyacá;Arcabuco;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;103.0;97.0;1455.0;15.0;Morus ssp;En fresco
Boyacá;Arcabuco;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;16.0;16.0;320.0;20.0;Solanum betaceum;En fresco
Boyacá;Arcabuco;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;10.0;10.0;120.0;12.0;Physalis peruviana L.;En fresco
Boyacá;Arcabuco;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;8.0;8.0;6.71;0.84;Zea mays;En fresco
Boyacá;Arcabuco;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;2.0;2.0;50.0;25.0;Daucus carota;En fresco
Boyacá;Arcabuco;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;1250.0;1250.0;31250.0;25.0;Solanum tuberosum;En fresco
Boyacá;Arcabuco;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;8.0;8.0;6.71;0.84;Zea mays;En fresco
