codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;codCultivo;nombreCientificoCultivo;estadoFisicoCultivo
15;Boyacá;15047;Aquitania;Cebolla De Rama;Cebolla De Rama;Transitorio;Hortalizas;Hortalizas de Tallo;2019;B;1400;1400;53200;38;1051200;Allium fistulosum;En fresco
15;Boyacá;15047;Aquitania;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;80;60;1500;25;1080701;Solanum tuberosum;En fresco
15;Boyacá;15047;Aquitania;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;30;25;200;8;1080702;Solanum tuberosum;En fresco
15;Boyacá;15051;Arcabuco;Arándano;Arándano;Permanente;Frutales;Demas frutales;2019;C;12;6;54;9;2040400;Vaccinium corymbosum;En fresco
15;Boyacá;15051;Arcabuco;Fresa;Fresa;Permanente;Frutales;Demas frutales;2019;C;20;15;300;20;2042700;Fragaria vesca;En fresco
15;Boyacá;15051;Arcabuco;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;103;97;1455;15;2044700;Morus ssp;En fresco
15;Boyacá;15051;Arcabuco;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;16;16;320;20;2046300;Solanum betaceum;En fresco
15;Boyacá;15051;Arcabuco;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;10;10;120;12;2046500;Physalis peruviana L.;En fresco
15;Boyacá;15051;Arcabuco;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;8;8;6,71;0,84;1010497;Zea mays;En fresco
15;Boyacá;15051;Arcabuco;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;2;2;50;25;1053000;Daucus carota;En fresco
15;Boyacá;15051;Arcabuco;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;1250;1250;31250;25;1080701;Solanum tuberosum;En fresco
15;Boyacá;15051;Arcabuco;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;8;8;6,71;0,84;1010497;Zea mays;En fresco
15;Boyacá;15051;Arcabuco;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;2;2;50;25;1053000;Daucus carota;En fresco
15;Boyacá;15051;Arcabuco;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;1250;1250;25000;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15087;Belén;Ciruela;Ciruela;Permanente;Frutales;Caducifolios;2019;C;2;2;8,4;4,2;2041800;Prunus domestica L.;En fresco
15;Boyacá;15087;Belén;Curuba;Curuba;Permanente;Frutales;Pasifloráceas;2019;C;2;2;8;4;2042200;Passiflora mollissima;En fresco
15;Boyacá;15087;Belén;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;4;2;18;9;2042400;Prunus persica L.;En fresco
15;Boyacá;15087;Belén;Feijoa;Feijoa;Permanente;Frutales;Mirtáceas;2019;C;2;2;28;14;2042500;Feijoa sellowiana berg.;En fresco
15;Boyacá;15087;Belén;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;3;3;6;2;2044700;Morus ssp;En fresco
15;Boyacá;15087;Belén;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;4;4;19;4,75;2046300;Solanum betaceum;En fresco
15;Boyacá;15087;Belén;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;6;5;13;2,6;2046500;Physalis peruviana L.;En fresco
15;Boyacá;15087;Belén;Avena;Avena;Transitorio;Cereales;Cereales;2019;A;20;16;31;1,94;1010200;Avena sativa;En fresco
15;Boyacá;15087;Belén;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;2;2;4;2;1010300;Hordeum vulgare;En fresco
15;Boyacá;15087;Belén;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;14;12;13,42;1,12;1010497;Zea mays;En fresco
15;Boyacá;15087;Belén;Ajo;Ajo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3;3;39;13;1050400;Allium sativum;En fresco
15;Boyacá;15087;Belén;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;3;3;60;20;1051100;Allium cepa;En fresco
15;Boyacá;15087;Belén;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;24;24;720;30;1053000;Daucus carota;En fresco
15;Boyacá;15087;Belén;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;A;4;4;108;27;1059900;No aplica;En fresco
15;Boyacá;15087;Belén;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;350;240;3840;16;1080701;Solanum tuberosum;En fresco
15;Boyacá;15087;Belén;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;30;27;378;14;1080702;Solanum tuberosum;En fresco
15;Boyacá;15087;Belén;Avena;Avena;Transitorio;Cereales;Cereales;2019;B;19;18;25,2;1,4;1010200;Avena sativa;En fresco
15;Boyacá;15087;Belén;Ajo;Ajo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;3;3;39;13;1050400;Allium sativum;En fresco
15;Boyacá;15087;Belén;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;5;4;60;15;1051100;Allium cepa;En fresco
15;Boyacá;15087;Belén;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;19;19;513;27;1053000;Daucus carota;En fresco
15;Boyacá;15087;Belén;Otras hortalizas;Otras hortalizas;Transitorio;Hortalizas;Hortalizas;2019;B;4;3;33;11;1059900;No aplica;En fresco
15;Boyacá;15087;Belén;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;320;320;4160;13;1080701;Solanum tuberosum;En fresco
15;Boyacá;15087;Belén;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;35;35;287;8,2;1080702;Solanum tuberosum;En fresco
15;Boyacá;15090;Berbeo;Chamba;Chamba;Permanente;Frutales;Mirtáceas;2019;C;4;4;20;5;2041400;Campomanesia lineatifolia;En fresco
15;Boyacá;15090;Berbeo;Maracuyá;Maracuyá;Permanente;Frutales;Pasifloráceas;2019;C;4;4;120;30;2044500;Passiflora edulis;En fresco
15;Boyacá;15090;Berbeo;Pitahaya;Pitahaya;Permanente;Frutales;Demas frutales;2019;C;17;17;80;4,71;2045700;Hylocereus triangularis;En fresco
15;Boyacá;15090;Berbeo;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;7;5;11,5;2,3;2045802;Musa paradisiaca L.;En fresco
15;Boyacá;15090;Berbeo;Sacha inchi;Sacha inchi;Permanente;Oleaginosas;Oleaginosas;2019;C;2;1;2;2;2070500;Plukenetia volubilis;En fresco
15;Boyacá;15090;Berbeo;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;15;15;15;1;1010497;Zea mays;En fresco
15;Boyacá;15090;Berbeo;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;4;4;320;80;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15090;Berbeo;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;8;8;72;9;1081001;Manihot esculenta;En fresco
15;Boyacá;15090;Berbeo;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;12;12;12;1;1010497;Zea mays;En fresco
15;Boyacá;15090;Berbeo;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;5;5;400;80;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15092;Betéitiva;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;4;2;8;4;2042400;Prunus persica L.;En fresco
15;Boyacá;15092;Betéitiva;Uchuva;Uchuva;Permanente;Frutales;Solanáceas;2019;C;4;2;30;15;2046500;Physalis peruviana L.;En fresco
15;Boyacá;15092;Betéitiva;Cebada;Cebada;Transitorio;Cereales;Cereales;2019;A;2;2;2;1;1010300;Hordeum vulgare;En fresco
15;Boyacá;15092;Betéitiva;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;14;14;16,8;1,2;1010497;Zea mays;En fresco
15;Boyacá;15092;Betéitiva;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;10;10;9;0,9;1010800;Triticum aestivum;En fresco
15;Boyacá;15092;Betéitiva;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;5;5;75;15;1051100;Allium cepa;En fresco
15;Boyacá;15092;Betéitiva;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;36;36;720;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15092;Betéitiva;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;7;7;105;15;1080702;Solanum tuberosum;En fresco
15;Boyacá;15092;Betéitiva;Cebolla De Bulbo;Cebolla De Bulbo;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;5;5;65;13;1051100;Allium cepa;En fresco
15;Boyacá;15092;Betéitiva;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;4;4;200;50;1052901;Lycopersicon esculentum;En fresco
15;Boyacá;15092;Betéitiva;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;22;22;440;20;1080701;Solanum tuberosum;En fresco
15;Boyacá;15092;Betéitiva;Papa Criolla;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;5;5;75;15;1080702;Solanum tuberosum;En fresco
15;Boyacá;15097;Boavita;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;9;8;160;20;2042400;Prunus persica L.;En fresco
15;Boyacá;15097;Boavita;Mango demás variedades;Mango;Permanente;Frutales;Demas frutales;2019;C;15;13;39;3;2044299;Mangifera indica L;En fresco
15;Boyacá;15097;Boavita;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;30;30;90;3;2045802;Musa paradisiaca L.;En fresco
15;Boyacá;15097;Boavita;Otros cítricos;Otros cítricos;Permanente;Frutales;Cítricos;2019;C;91;85;680;8;2049800;No aplica;En fresco
15;Boyacá;15097;Boavita;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;300;280;280;1;1010497;Zea mays;En fresco
15;Boyacá;15097;Boavita;Trigo;Trigo;Transitorio;Cereales;Cereales;2019;A;10;10;10;1;1010800;Triticum aestivum;En fresco
15;Boyacá;15097;Boavita;Tabaco;Tabaco;Transitorio;Cultivos Tropicales Tradicionales;Cultivos Tropicales Tradicionales;2019;A;0;0;0;0;1030700;Nicotiana tabacum;En fresco
15;Boyacá;15097;Boavita;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;15;14;420;30;1052901;Lycopersicon esculentum;En fresco
15;Boyacá;15097;Boavita;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;3;3;180;60;1052902;Lycopersicon esculentum;En fresco
15;Boyacá;15097;Boavita;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;150;140;140;1;1010497;Zea mays;En fresco
