Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Cebolla De Rama;Hortalizas;1400.0;53200.0;38.0;2;0;1;0;75
Papa;Raíces y Tubérculos;80.0;1500.0;25.0;4;0;1;0;1585
Papa;Raíces y Tubérculos;30.0;200.0;8.0;4;0;1;0;1585
Arándano;Frutales;12.0;54.0;9.0;1;0;2;1;122
Fresa;Frutales;20.0;300.0;20.0;1;0;2;1;223
Mora;Frutales;103.0;1455.0;15.0;1;0;2;1;339
Tomate de árbol;Frutales;16.0;320.0;20.0;1;0;2;1;324
Uchuva;Frutales;10.0;120.0;12.0;1;0;2;1;192
Maíz;Cereales;8.0;6.71;0.84;5;0;0;0;1624
Zanahoria;Hortalizas;2.0;50.0;25.0;2;0;0;0;394
